circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,43.6517068,None,z,144.0644406,43.6517068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,187.9767784,188.9765962,189.4442058,190.4599483,190.9491652,191.9594567,z,1.1717656,190.9491652,None,190.9491652,None,192.1722606,None,,,,,,,,,,,,,,,,,,,,,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,193.2275714,194.2432316,194.7097626,195.7098289,196.2247923,None,z,0.7248398,196.2247923,None,196.2247923,None,196.9709342,None,,,,,,,,,,,,,,,,,,,,,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
4,4_circles_lined.png,"(0.5, 0.5)",There were 5 circles,No,m,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,198.0326285,199.0434566,199.5271845,200.5275052,201.0289584,None,m,0.8009081,201.0289584,None,201.0289584,None,201.8500433,None,,,,,,,,,,,,,,,,,,,,,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,202.9081341,203.9097481,204.4104676,205.4105865,205.901253,None,z,0.6421855,205.901253,None,205.901253,None,206.5702683,None,,,,,,,,,,,,,,,,,,,,,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
2,2_circles_lined.png,"(0.5, 0.25)",There were 3 circles,No,m,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,207.6052207,208.6093336,209.0931456,210.0936374,210.6007245,None,m,0.9095117,210.6007245,None,210.6007245,None,211.5301221,None,,,,,,,,,,,,,,,,,,,,,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
3,3_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,212.5896313,213.5928511,214.077288,215.077168,215.5779669,216.5907922,m,1.1581236,215.5779669,None,215.5779669,None,216.7638927,None,,,,,,,,,,,,,,,,,,,,,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
3,3_circles_lined.png,"(0.75, 0.25)",There were 4 circles,No,m,Low,Yes,0,0,0,0,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,217.8880342,None,z,42.7980134,217.8880342,None,None,None,None,None,260.8750992,261.8754665,263.358333,None,262.3591248,262.8593517,m,0.7332694,263.358333,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
4,4_circles_notlined.png,"(0.6, 0.5)",There were 5 circles,No,m,Low,No,0,0,0,0,,,,,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.2047028,265.2087203,266.6939482,None,265.6919717,266.1927165,m,0.9112689,266.6939482,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
5,5_circles_notlined.png,"(0.7, 0.5)",There were 5 circles,Yes,z,Low,No,0,0,0,0,,,,,0,2,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.7207149,268.7253333,270.2082533,None,269.2085932,269.7085942,z,0.87188,270.2082533,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
