circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,28.2429706,None,z,50.4955692,28.2429706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2021_Dec_07_1347,project_circles,2021.2.3,60.02101938
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,78.9404588,79.9558534,80.4227969,81.4228318,81.9299573,82.9395109,z,1.3579529,81.9299573,None,81.9299573,None,83.3434846,None,,,,,,,,,,,,,,,,,,,,,2,1,2021_Dec_07_1347,project_circles,2021.2.3,60.02101938
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,84.3863156,85.3890535,85.8722181,86.8726562,87.3795479,None,z,0.4927301,87.3795479,None,87.3795479,None,87.907526,None,,,,,,,,,,,,,,,,,,,,,2,1,2021_Dec_07_1347,project_circles,2021.2.3,60.02101938
3,3_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,88.9832649,89.9889784,90.4725435,91.4732191,91.9810133,None,m,0.6223359,91.9810133,None,91.9810133,None,92.6358842,None,,,,,,,,,,,,,,,,,,,,,2,1,2021_Dec_07_1347,project_circles,2021.2.3,60.02101938
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,93.6930435,94.7052319,95.1898982,96.1895351,96.6977615,None,z,0.3912543,96.6977615,None,96.6977615,None,97.1236473,None,,,,,,,,,,,,,,,,,,,,,2,1,2021_Dec_07_1347,project_circles,2021.2.3,60.02101938
4,4_circles_lined.png,"(0.5, 0.5)",There were 5 circles,No,m,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,98.2190766,99.2212056,99.7057629,100.7053866,101.2114815,None,m,0.4935095,101.2114815,None,101.2114815,None,101.7371975,None,,,,,,,,,,,,,,,,,,,,,2,1,2021_Dec_07_1347,project_circles,2021.2.3,60.02101938
2,2_circles_lined.png,"(0.5, 0.25)",There were 3 circles,No,m,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,102.7773164,103.7886321,104.2732258,105.2722048,105.7801053,None,m,0.4474185,105.7801053,None,105.7801053,None,106.2680754,None,,,,,,,,,,,,,,,,,,,,,2,1,2021_Dec_07_1347,project_circles,2021.2.3,60.02101938
4,4_circles_notlined.png,"(0.6, 0.5)",There were 3 circles,No,m,Low,No,0,0,0,0,,,,,0,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,107.4133011,None,z,3.2708732,107.4133011,None,110.74202,None,110.74202,None,112.4858355,113.4885912,114.9799496,None,113.988464,114.4883599,m,0.5849497,114.9799496,None,2,1,2021_Dec_07_1347,project_circles,2021.2.3,60.02101938
5,5_circles_notlined.png,"(0.7, 0.5)",There were 4 circles,No,m,Low,No,0,0,0,0,,,,,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.7472487,116.7549427,118.2407335,None,117.2386859,117.7389937,m,0.4419747,118.2407335,None,2,1,2021_Dec_07_1347,project_circles,2021.2.3,60.02101938
4,4_circles_notlined.png,"(0.6, 0.5)",There were 4 circles,Yes,z,Low,No,0,0,0,0,,,,,0,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.773436,119.7872888,121.2551716,None,120.2550593,120.7558906,z,0.3453309,121.2551716,None,2,1,2021_Dec_07_1347,project_circles,2021.2.3,60.02101938
